# Wed Nov 22 12:18:22 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
1,1,ec66fe277c049a6d,1,1,1,c
2,1,3dbe9767f463ecf0,2,2,1,c
0,1,da04ee226f62099b,0,0,1,c
2,1,3dbe9767f463ecf0,2,101,2,p
2,1,3dbe9767f463ecf0,2,43,2,p
1,1,ec66fe277c049a6d,1,14,2,p
2,1,3dbe9767f463ecf0,2,37,2,p
0,1,da04ee226f62099b,0,184,2,p
1,1,ec66fe277c049a6d,1,175,2,p
0,1,da04ee226f62099b,184,6,2,a
2,1,3dbe9767f463ecf0,37,57,2,a
2,1,3dbe9767f463ecf0,101,75,2,a
1,1,ec66fe277c049a6d,14,66,2,a
2,1,3dbe9767f463ecf0,43,93,2,a
1,1,ec66fe277c049a6d,175,22,2,a
2,1,3dbe9767f463ecf0,75,101,3,p
1,1,ec66fe277c049a6d,22,14,3,p
0,1,da04ee226f62099b,6,184,3,p
2,1,3dbe9767f463ecf0,190,43,3,p
1,1,ec66fe277c049a6d,175,106,3,p
2,1,3dbe9767f463ecf0,37,199,3,p
1,1,ec66fe277c049a6d,22,175,3,p
2,1,3dbe9767f463ecf0,57,37,3,p
0,1,da04ee226f62099b,184,6,3,a
2,1,3dbe9767f463ecf0,43,93,3,a
2,1,3dbe9767f463ecf0,37,57,3,a
1,1,ec66fe277c049a6d,175,22,3,a
2,1,3dbe9767f463ecf0,199,74,3,a
1,1,ec66fe277c049a6d,106,112,3,a
2,1,3dbe9767f463ecf0,2,163,4,p
2,1,3dbe9767f463ecf0,2,123,4,p
1,1,ec66fe277c049a6d,1,129,4,p
0,1,da04ee226f62099b,0,7,4,p
2,1,3dbe9767f463ecf0,2,140,4,p
1,1,ec66fe277c049a6d,1,77,4,p
2,1,3dbe9767f463ecf0,37,173,4,p
2,1,3dbe9767f463ecf0,2,24,4,p
0,1,da04ee226f62099b,184,195,4,p
0,1,da04ee226f62099b,0,132,4,p
