# Wed Nov 22 12:23:42 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
ag1,ag2,time,weight,type
3,29,1,0.8407305100601505,a
3,32,1,0.9999527296986666,a
3,51,1,0.3719137309321783,a
3,80,1,0.42285959223858893,a
3,143,1,0.9326125393086235,a
3,177,1,0.7781791025366265,a
4,25,1,0.7889268461708565,a
4,114,1,0.42958626695841173,a
4,138,1,0.352908349394335,a
4,164,1,0.379977322429495,a
4,202,1,0.48992073186173946,a
5,12,1,0.6285473467194989,a
5,32,1,0.7456360280151293,a
5,33,1,0.47067484086003275,a
5,45,1,0.8852854146794489,a
5,54,1,0.41897070452651936,a
5,119,1,0.9956809582701622,a
5,139,1,0.7396850714753536,a
5,155,1,0.8523775322972882,a
5,163,1,0.6009480809477729,a
5,169,1,0.39447391284176264,a
5,198,1,0.6621372619446376,a
6,55,1,0.9424089999603866,a
6,60,1,0.341504068445521,a
6,72,1,0.8337787755381707,a
6,95,1,0.6281694796005576,a
6,120,1,0.6901599479514786,a
6,190,1,0.34810029626906736,a
7,21,1,0.5084880257838135,a
7,96,1,0.7812564925413994,a
7,149,1,0.8993581707247231,a
7,162,1,0.3762076190367859,a
7,166,1,0.8914981628928302,a
8,13,1,0.9834542525376184,a
8,32,1,0.9351680985475945,a
8,45,1,0.5875486988534591,a
8,61,1,0.3168523624037432,a
8,71,1,0.47294522227642943,a
8,182,1,0.9706482871939823,a
9,58,1,0.8820316916762647,a
9,160,1,0.7045022239199529,a
9,185,1,0.37415520813751446,a
10,45,1,0.8503584359786942,a
10,74,1,0.4705035469168767,a
10,145,1,0.7601963619500629,a
10,160,1,0.3044575548816401,a
10,194,1,0.31125737927979646,a
11,23,1,0.859429225645046,a
11,63,1,0.3787485114948696,a
11,71,1,0.9079082953078819,a
11,77,1,0.6643572816585208,a
11,90,1,0.842055682895331,a
11,184,1,0.45433337323716005,a
11,193,1,0.6660253542321662,a
12,74,1,0.8424400036059685,a
12,98,1,0.9004465012564675,a
