# Wed Nov 22 11:52:37 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
0,1,5112cee29c3975ec,0,0,1,c
2,1,839b4b400e741070,2,2,1,c
1,1,d31393067f61f235,1,1,1,c
0,1,5112cee29c3975ec,0,68,2,p
1,1,d31393067f61f235,1,183,2,p
2,1,839b4b400e741070,2,172,2,p
0,1,5112cee29c3975ec,0,158,2,p
0,1,5112cee29c3975ec,158,130,2,p
2,1,839b4b400e741070,2,94,2,p
2,1,839b4b400e741070,2,187,2,p
2,1,839b4b400e741070,2,128,2,p
2,1,839b4b400e741070,172,178,2,p
1,1,d31393067f61f235,1,98,2,p
1,1,d31393067f61f235,183,49,2,a
2,1,839b4b400e741070,172,178,2,a
2,1,839b4b400e741070,187,164,2,a
0,1,5112cee29c3975ec,130,158,2,a
2,1,839b4b400e741070,94,119,2,a
2,1,839b4b400e741070,178,76,2,a
0,1,5112cee29c3975ec,158,115,2,a
1,1,d31393067f61f235,98,67,2,a
2,1,839b4b400e741070,128,20,2,a
0,1,5112cee29c3975ec,68,73,2,a
0,1,5112cee29c3975ec,73,68,3,p
1,1,d31393067f61f235,67,98,3,p
2,1,839b4b400e741070,20,187,3,p
2,1,839b4b400e741070,119,94,3,p
2,1,839b4b400e741070,119,199,3,p
2,1,839b4b400e741070,178,172,3,p
2,1,839b4b400e741070,76,178,3,p
1,1,d31393067f61f235,98,107,3,p
0,1,5112cee29c3975ec,115,158,3,p
1,1,d31393067f61f235,49,183,3,p
2,1,839b4b400e741070,20,128,3,p
0,1,5112cee29c3975ec,158,130,3,p
0,1,5112cee29c3975ec,158,115,3,a
0,1,5112cee29c3975ec,68,73,3,a
2,1,839b4b400e741070,187,164,3,a
2,1,839b4b400e741070,128,20,3,a
2,1,839b4b400e741070,76,178,3,a
2,1,839b4b400e741070,172,178,3,a
1,1,d31393067f61f235,98,67,3,a
2,1,839b4b400e741070,94,119,3,a
2,1,839b4b400e741070,178,76,3,a
2,1,839b4b400e741070,2,61,4,p
1,1,d31393067f61f235,1,6,4,p
0,1,5112cee29c3975ec,0,63,4,p
0,1,5112cee29c3975ec,130,127,4,p
0,1,5112cee29c3975ec,63,146,4,p
1,1,d31393067f61f235,49,200,4,p
2,1,839b4b400e741070,76,178,4,p
1,1,d31393067f61f235,67,98,4,p
2,1,839b4b400e741070,2,15,4,p
1,1,d31393067f61f235,49,165,4,p
0,1,5112cee29c3975ec,0,149,4,p
0,1,5112cee29c3975ec,149,79,4,p
1,1,d31393067f61f235,98,67,4,p
0,1,5112cee29c3975ec,73,68,4,p
2,1,839b4b400e741070,20,128,4,p
1,1,d31393067f61f235,98,76,4,p
1,1,d31393067f61f235,200,45,4,p
1,1,d31393067f61f235,165,81,4,p
0,1,5112cee29c3975ec,149,62,4,p
0,1,5112cee29c3975ec,0,42,4,p
2,1,839b4b400e741070,15,196,4,p
2,1,839b4b400e741070,2,154,4,p
2,1,839b4b400e741070,119,94,4,p
2,1,839b4b400e741070,2,134,4,p
0,1,5112cee29c3975ec,0,8,4,p
1,1,d31393067f61f235,1,10,4,p
2,1,839b4b400e741070,2,189,4,p
0,1,5112cee29c3975ec,115,158,4,p
2,1,839b4b400e741070,196,3,4,p
1,1,d31393067f61f235,67,118,4,p
0,1,5112cee29c3975ec,0,53,4,p
2,1,839b4b400e741070,178,172,4,p
2,1,839b4b400e741070,2,180,4,p
1,1,d31393067f61f235,49,21,4,p
2,1,839b4b400e741070,2,140,4,p
1,1,d31393067f61f235,183,31,4,p
0,1,5112cee29c3975ec,53,192,4,p
0,1,5112cee29c3975ec,149,5,4,p
2,1,839b4b400e741070,20,187,4,p
0,1,5112cee29c3975ec,127,202,4,a
2,1,839b4b400e741070,180,129,4,a
2,1,839b4b400e741070,140,23,4,a
1,1,d31393067f61f235,45,74,4,a
1,1,d31393067f61f235,81,106,4,a
1,1,d31393067f61f235,31,15,4,a
2,1,839b4b400e741070,61,102,4,a
0,1,5112cee29c3975ec,5,156,4,a
1,1,d31393067f61f235,21,49,4,a
1,1,d31393067f61f235,118,86,4,a
1,1,d31393067f61f235,15,198,4,a
