# Wed Nov 22 11:47:06 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
2,1,4c371c9a075a15b8,2,2,1,c
1,1,ef659eb040a04944,1,1,1,c
0,1,ef70e76ac1f60a40,0,0,1,c
1,1,ef659eb040a04944,1,24,2,p
2,1,4c371c9a075a15b8,2,60,2,p
0,1,ef70e76ac1f60a40,0,40,2,p
2,1,4c371c9a075a15b8,2,34,2,p
2,1,4c371c9a075a15b8,2,108,2,p
2,1,4c371c9a075a15b8,2,102,2,p
2,1,4c371c9a075a15b8,2,156,2,p
1,1,ef659eb040a04944,1,13,2,p
2,1,4c371c9a075a15b8,2,85,2,p
0,1,ef70e76ac1f60a40,0,109,2,p
2,1,4c371c9a075a15b8,108,118,2,p
1,1,ef659eb040a04944,1,35,2,p
0,1,ef70e76ac1f60a40,0,106,2,p
0,1,ef70e76ac1f60a40,0,110,2,p
2,1,4c371c9a075a15b8,2,175,2,p
0,1,ef70e76ac1f60a40,0,177,2,p
1,1,ef659eb040a04944,35,30,2,a
2,1,4c371c9a075a15b8,60,195,2,a
2,1,4c371c9a075a15b8,118,110,2,a
2,1,4c371c9a075a15b8,156,162,2,a
0,1,ef70e76ac1f60a40,106,196,2,a
2,1,4c371c9a075a15b8,175,147,2,a
0,1,ef70e76ac1f60a40,177,64,2,a
2,1,4c371c9a075a15b8,85,78,2,a
2,1,4c371c9a075a15b8,102,188,2,a
0,1,ef70e76ac1f60a40,109,135,2,a
2,1,4c371c9a075a15b8,110,58,2,a
1,1,ef659eb040a04944,24,72,2,a
1,1,ef659eb040a04944,13,97,2,a
2,1,4c371c9a075a15b8,108,164,2,a
2,1,4c371c9a075a15b8,34,55,2,a
0,1,ef70e76ac1f60a40,40,126,2,a
2,1,4c371c9a075a15b8,188,60,3,p
1,1,ef659eb040a04944,97,13,3,p
2,1,4c371c9a075a15b8,188,102,3,p
2,1,4c371c9a075a15b8,110,108,3,p
0,1,ef70e76ac1f60a40,126,40,3,p
2,1,4c371c9a075a15b8,147,175,3,p
2,1,4c371c9a075a15b8,188,14,3,p
1,1,ef659eb040a04944,30,35,3,p
2,1,4c371c9a075a15b8,55,34,3,p
2,1,4c371c9a075a15b8,108,118,3,p
2,1,4c371c9a075a15b8,162,156,3,p
0,1,ef70e76ac1f60a40,0,110,3,p
1,1,ef659eb040a04944,72,24,3,p
2,1,4c371c9a075a15b8,78,85,3,p
0,1,ef70e76ac1f60a40,64,177,3,p
0,1,ef70e76ac1f60a40,196,106,3,p
0,1,ef70e76ac1f60a40,115,109,3,p
0,1,ef70e76ac1f60a40,177,64,3,a
0,1,ef70e76ac1f60a40,109,135,3,a
2,1,4c371c9a075a15b8,156,162,3,a
2,1,4c371c9a075a15b8,34,55,3,a
1,1,ef659eb040a04944,35,30,3,a
1,1,ef659eb040a04944,24,72,3,a
2,1,4c371c9a075a15b8,175,147,3,a
2,1,4c371c9a075a15b8,14,151,3,a
2,1,4c371c9a075a15b8,60,195,3,a
2,1,4c371c9a075a15b8,118,110,3,a
0,1,ef70e76ac1f60a40,0,37,4,p
2,1,4c371c9a075a15b8,14,69,4,p
2,1,4c371c9a075a15b8,2,155,4,p
2,1,4c371c9a075a15b8,2,16,4,p
2,1,4c371c9a075a15b8,2,112,4,p
0,1,ef70e76ac1f60a40,0,140,4,p
2,1,4c371c9a075a15b8,60,104,4,p
1,1,ef659eb040a04944,72,24,4,p
2,1,4c371c9a075a15b8,151,75,4,p
1,1,ef659eb040a04944,1,121,4,p
0,1,ef70e76ac1f60a40,140,107,4,p
2,1,4c371c9a075a15b8,104,60,4,p
2,1,4c371c9a075a15b8,14,201,4,p
0,1,ef70e76ac1f60a40,115,146,4,p
0,1,ef70e76ac1f60a40,115,109,4,p
