# Wed Nov 22 12:15:22 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
1,1,142006f4fcbef3a7,1,1,1,c
2,1,2bda9044f03c6d6b,2,2,1,c
0,1,53c3f47c9aa5d761,0,0,1,c
1,1,142006f4fcbef3a7,1,76,2,p
1,1,142006f4fcbef3a7,1,55,2,p
0,1,53c3f47c9aa5d761,0,25,2,p
0,1,53c3f47c9aa5d761,0,41,2,p
1,1,142006f4fcbef3a7,1,170,2,p
1,1,142006f4fcbef3a7,1,122,2,p
1,1,142006f4fcbef3a7,55,118,2,p
1,1,142006f4fcbef3a7,118,148,2,p
0,1,53c3f47c9aa5d761,0,4,2,p
2,1,2bda9044f03c6d6b,2,24,2,p
1,1,142006f4fcbef3a7,1,161,2,p
0,1,53c3f47c9aa5d761,0,191,2,p
0,1,53c3f47c9aa5d761,25,128,2,a
0,1,53c3f47c9aa5d761,191,110,2,a
1,1,142006f4fcbef3a7,55,160,2,a
1,1,142006f4fcbef3a7,76,159,2,a
1,1,142006f4fcbef3a7,170,31,2,a
1,1,142006f4fcbef3a7,118,12,2,a
1,1,142006f4fcbef3a7,122,52,2,a
0,1,53c3f47c9aa5d761,41,77,2,a
0,1,53c3f47c9aa5d761,110,191,2,a
2,1,2bda9044f03c6d6b,24,201,2,a
0,1,53c3f47c9aa5d761,4,63,2,a
1,1,142006f4fcbef3a7,161,194,2,a
1,1,142006f4fcbef3a7,148,94,2,a
0,1,53c3f47c9aa5d761,128,25,3,p
0,1,53c3f47c9aa5d761,63,40,3,p
1,1,142006f4fcbef3a7,94,148,3,p
2,1,2bda9044f03c6d6b,201,24,3,p
0,1,53c3f47c9aa5d761,63,4,3,p
1,1,142006f4fcbef3a7,194,161,3,p
1,1,142006f4fcbef3a7,148,21,3,p
0,1,53c3f47c9aa5d761,40,147,3,p
2,1,2bda9044f03c6d6b,201,142,3,p
1,1,142006f4fcbef3a7,31,170,3,p
1,1,142006f4fcbef3a7,161,193,3,p
1,1,142006f4fcbef3a7,159,76,3,p
0,1,53c3f47c9aa5d761,191,110,3,p
1,1,142006f4fcbef3a7,12,118,3,p
0,1,53c3f47c9aa5d761,5,41,3,p
0,1,53c3f47c9aa5d761,110,191,3,p
1,1,142006f4fcbef3a7,118,55,3,p
1,1,142006f4fcbef3a7,52,122,3,p
0,1,53c3f47c9aa5d761,40,147,3,a
1,1,142006f4fcbef3a7,31,170,3,a
0,1,53c3f47c9aa5d761,41,77,3,a
2,1,2bda9044f03c6d6b,24,201,3,a
1,1,142006f4fcbef3a7,148,94,3,a
1,1,142006f4fcbef3a7,55,160,3,a
1,1,142006f4fcbef3a7,161,194,3,a
0,1,53c3f47c9aa5d761,147,40,3,a
0,1,53c3f47c9aa5d761,191,110,3,a
1,1,142006f4fcbef3a7,118,12,3,a
2,1,2bda9044f03c6d6b,2,143,4,p
1,1,142006f4fcbef3a7,193,99,4,p
1,1,142006f4fcbef3a7,122,43,4,p
1,1,142006f4fcbef3a7,1,38,4,p
1,1,142006f4fcbef3a7,21,148,4,p
0,1,53c3f47c9aa5d761,123,45,4,p
0,1,53c3f47c9aa5d761,191,145,4,p
1,1,142006f4fcbef3a7,1,22,4,p
1,1,142006f4fcbef3a7,193,161,4,p
1,1,142006f4fcbef3a7,193,98,4,p
0,1,53c3f47c9aa5d761,0,68,4,p
0,1,53c3f47c9aa5d761,5,41,4,p
1,1,142006f4fcbef3a7,194,32,4,p
1,1,142006f4fcbef3a7,38,129,4,p
1,1,142006f4fcbef3a7,21,66,4,p
1,1,142006f4fcbef3a7,1,71,4,p
1,1,142006f4fcbef3a7,12,135,4,p
0,1,53c3f47c9aa5d761,68,126,4,p
1,1,142006f4fcbef3a7,43,184,4,p
1,1,142006f4fcbef3a7,159,72,4,p
0,1,53c3f47c9aa5d761,0,54,4,p
1,1,142006f4fcbef3a7,55,155,4,p
0,1,53c3f47c9aa5d761,5,174,4,p
1,1,142006f4fcbef3a7,32,178,4,p
1,1,142006f4fcbef3a7,22,84,4,p
0,1,53c3f47c9aa5d761,40,97,4,p
0,1,53c3f47c9aa5d761,4,112,4,p
1,1,142006f4fcbef3a7,118,31,4,p
0,1,53c3f47c9aa5d761,0,146,4,p
2,1,2bda9044f03c6d6b,2,62,4,p
0,1,53c3f47c9aa5d761,110,191,4,p
1,1,142006f4fcbef3a7,12,118,4,p
0,1,53c3f47c9aa5d761,40,147,4,p
1,1,142006f4fcbef3a7,1,188,4,p
1,1,142006f4fcbef3a7,148,34,4,p
0,1,53c3f47c9aa5d761,0,180,4,p
0,1,53c3f47c9aa5d761,180,168,4,p
1,1,142006f4fcbef3a7,170,185,4,p
1,1,142006f4fcbef3a7,43,8,4,p
1,1,142006f4fcbef3a7,31,73,4,p
1,1,142006f4fcbef3a7,21,192,4,p
0,1,53c3f47c9aa5d761,168,90,4,p
1,1,142006f4fcbef3a7,118,55,4,p
1,1,142006f4fcbef3a7,73,51,4,p
1,1,142006f4fcbef3a7,8,87,4,p
1,1,142006f4fcbef3a7,1,80,4,p
1,1,142006f4fcbef3a7,155,157,4,p
1,1,142006f4fcbef3a7,31,95,4,p
1,1,142006f4fcbef3a7,194,144,4,p
1,1,142006f4fcbef3a7,21,198,4,p
0,1,53c3f47c9aa5d761,123,35,4,p
1,1,142006f4fcbef3a7,98,106,4,p
1,1,142006f4fcbef3a7,1,83,4,p
1,1,142006f4fcbef3a7,198,36,4,p
1,1,142006f4fcbef3a7,32,169,4,p
1,1,142006f4fcbef3a7,71,37,4,p
0,1,53c3f47c9aa5d761,63,40,4,p
1,1,142006f4fcbef3a7,43,132,4,p
1,1,142006f4fcbef3a7,1,46,4,p
1,1,142006f4fcbef3a7,1,197,4,p
1,1,142006f4fcbef3a7,52,187,4,p
1,1,142006f4fcbef3a7,122,172,4,p
0,1,53c3f47c9aa5d761,112,111,4,p
0,1,53c3f47c9aa5d761,35,94,4,p
1,1,142006f4fcbef3a7,192,103,4,p
2,1,2bda9044f03c6d6b,201,24,4,p
0,1,53c3f47c9aa5d761,0,61,4,p
1,1,142006f4fcbef3a7,99,45,4,a
1,1,142006f4fcbef3a7,129,89,4,a
1,1,142006f4fcbef3a7,106,125,4,a
2,1,2bda9044f03c6d6b,24,201,4,a
2,1,2bda9044f03c6d6b,143,14,4,a
0,1,53c3f47c9aa5d761,41,77,4,a
0,1,53c3f47c9aa5d761,128,25,4,a
0,1,53c3f47c9aa5d761,97,78,4,a
0,1,53c3f47c9aa5d761,168,121,4,a
1,1,142006f4fcbef3a7,71,30,4,a
1,1,142006f4fcbef3a7,135,181,4,a
1,1,142006f4fcbef3a7,132,144,4,a
1,1,142006f4fcbef3a7,66,21,4,a
1,1,142006f4fcbef3a7,161,194,4,a
1,1,142006f4fcbef3a7,38,93,4,a
1,1,142006f4fcbef3a7,72,159,4,a
0,1,53c3f47c9aa5d761,174,51,4,a
1,1,142006f4fcbef3a7,133,14,4,a
0,1,53c3f47c9aa5d761,126,178,4,a
1,1,142006f4fcbef3a7,98,42,4,a
0,1,53c3f47c9aa5d761,77,41,4,a
1,1,142006f4fcbef3a7,125,144,4,a
1,1,142006f4fcbef3a7,169,147,4,a
0,1,53c3f47c9aa5d761,5,123,4,a
0,1,53c3f47c9aa5d761,90,159,4,a
1,1,142006f4fcbef3a7,197,13,4,a
1,1,142006f4fcbef3a7,198,151,4,a
0,1,53c3f47c9aa5d761,145,191,4,a
1,1,142006f4fcbef3a7,87,137,4,a
1,1,142006f4fcbef3a7,84,99,4,a
1,1,142006f4fcbef3a7,192,51,4,a
0,1,53c3f47c9aa5d761,112,29,4,a
1,1,142006f4fcbef3a7,32,183,4,a
1,1,142006f4fcbef3a7,148,94,4,a
0,1,53c3f47c9aa5d761,68,144,4,a
1,1,142006f4fcbef3a7,22,162,4,a
0,1,53c3f47c9aa5d761,144,61,4,a
1,1,142006f4fcbef3a7,184,200,4,a
1,1,142006f4fcbef3a7,103,123,4,a
2,1,2bda9044f03c6d6b,62,167,4,a
0,1,53c3f47c9aa5d761,35,17,4,a
1,1,142006f4fcbef3a7,95,160,4,a
0,1,53c3f47c9aa5d761,111,172,4,a
0,1,53c3f47c9aa5d761,178,126,4,a
1,1,142006f4fcbef3a7,187,116,4,a
0,1,53c3f47c9aa5d761,61,144,4,a
0,1,53c3f47c9aa5d761,180,183,4,a
1,1,142006f4fcbef3a7,155,131,4,a
1,1,142006f4fcbef3a7,185,170,4,a
1,1,142006f4fcbef3a7,43,150,4,a
1,1,142006f4fcbef3a7,31,170,4,a
1,1,142006f4fcbef3a7,83,3,4,a
1,1,142006f4fcbef3a7,34,48,4,a
1,1,142006f4fcbef3a7,46,154,4,a
1,1,142006f4fcbef3a7,8,43,4,a
1,1,142006f4fcbef3a7,80,146,4,a
1,1,142006f4fcbef3a7,45,99,4,a
1,1,142006f4fcbef3a7,94,148,4,a
1,1,142006f4fcbef3a7,55,160,4,a
1,1,142006f4fcbef3a7,157,75,4,a
1,1,142006f4fcbef3a7,146,80,4,a
0,1,53c3f47c9aa5d761,40,147,4,a
1,1,142006f4fcbef3a7,51,174,4,a
1,1,142006f4fcbef3a7,36,40,4,a
0,1,53c3f47c9aa5d761,172,50,4,a
1,1,142006f4fcbef3a7,37,94,4,a
0,1,53c3f47c9aa5d761,54,167,4,a
1,1,142006f4fcbef3a7,13,15,4,a
1,1,142006f4fcbef3a7,73,163,4,a
1,1,142006f4fcbef3a7,188,3,4,a
0,1,53c3f47c9aa5d761,144,61,5,p
1,1,142006f4fcbef3a7,8,87,5,p
1,1,142006f4fcbef3a7,192,175,5,p
1,1,142006f4fcbef3a7,137,18,5,p
1,1,142006f4fcbef3a7,55,5,5,p
1,1,142006f4fcbef3a7,73,31,5,p
1,1,142006f4fcbef3a7,42,6,5,p
1,1,142006f4fcbef3a7,15,13,5,p
1,1,142006f4fcbef3a7,43,184,5,p
1,1,142006f4fcbef3a7,43,8,5,p
1,1,142006f4fcbef3a7,42,109,5,p
1,1,142006f4fcbef3a7,146,80,5,p
1,1,142006f4fcbef3a7,45,99,5,p
0,1,53c3f47c9aa5d761,167,62,5,p
1,1,142006f4fcbef3a7,3,188,5,p
1,1,142006f4fcbef3a7,21,66,5,p
1,1,142006f4fcbef3a7,170,185,5,p
1,1,142006f4fcbef3a7,37,119,5,p
0,1,53c3f47c9aa5d761,41,77,5,p
0,1,53c3f47c9aa5d761,112,111,5,p
0,1,53c3f47c9aa5d761,144,96,5,p
0,1,53c3f47c9aa5d761,29,60,5,p
1,1,142006f4fcbef3a7,22,84,5,p
1,1,142006f4fcbef3a7,42,98,5,p
1,1,142006f4fcbef3a7,93,38,5,p
0,1,53c3f47c9aa5d761,63,40,5,p
1,1,142006f4fcbef3a7,38,129,5,p
1,1,142006f4fcbef3a7,98,106,5,p
1,1,142006f4fcbef3a7,31,153,5,p
0,1,53c3f47c9aa5d761,29,94,5,p
0,1,53c3f47c9aa5d761,144,74,5,p
1,1,142006f4fcbef3a7,30,67,5,p
1,1,142006f4fcbef3a7,14,148,5,p
1,1,142006f4fcbef3a7,1,128,5,p
1,1,142006f4fcbef3a7,125,116,5,p
0,1,53c3f47c9aa5d761,178,32,5,p
1,1,142006f4fcbef3a7,6,187,5,p
0,1,53c3f47c9aa5d761,178,145,5,p
1,1,142006f4fcbef3a7,30,71,5,p
0,1,53c3f47c9aa5d761,74,16,5,p
0,1,53c3f47c9aa5d761,161,180,5,p
0,1,53c3f47c9aa5d761,161,90,5,p
0,1,53c3f47c9aa5d761,16,15,5,p
1,1,142006f4fcbef3a7,84,79,5,p
1,1,142006f4fcbef3a7,75,72,5,p
1,1,142006f4fcbef3a7,154,46,5,p
0,1,53c3f47c9aa5d761,35,123,5,p
1,1,142006f4fcbef3a7,14,143,5,p
1,1,142006f4fcbef3a7,14,133,5,p
1,1,142006f4fcbef3a7,55,155,5,p
1,1,142006f4fcbef3a7,37,53,5,p
1,1,142006f4fcbef3a7,154,165,5,p
0,1,53c3f47c9aa5d761,32,11,5,p
1,1,142006f4fcbef3a7,153,189,5,p
0,1,53c3f47c9aa5d761,90,161,5,p
1,1,142006f4fcbef3a7,48,75,5,p
1,1,142006f4fcbef3a7,8,163,5,p
0,1,53c3f47c9aa5d761,16,177,5,p
1,1,142006f4fcbef3a7,18,91,5,p
