# Wed Nov 22 11:59:41 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 1000
#memorySize 1
source,timec,news,ag1,ag2,time,type
0,1,92cd57591b112e15,0,0,1,c
2,1,a3e62486ec1583dc,2,2,1,c
1,1,f7ca39541b55984d,1,1,1,c
2,1,a3e62486ec1583dc,2,165,2,p
0,1,92cd57591b112e15,0,191,2,p
0,1,92cd57591b112e15,0,57,2,p
2,1,a3e62486ec1583dc,2,104,2,p
2,1,a3e62486ec1583dc,2,185,2,p
2,1,a3e62486ec1583dc,2,52,2,p
2,1,a3e62486ec1583dc,2,167,2,p
2,1,a3e62486ec1583dc,2,43,2,p
2,1,a3e62486ec1583dc,165,90,2,p
2,1,a3e62486ec1583dc,2,28,2,p
2,1,a3e62486ec1583dc,2,85,2,p
2,1,a3e62486ec1583dc,185,51,2,p
2,1,a3e62486ec1583dc,2,189,2,p
1,1,f7ca39541b55984d,1,102,2,p
2,1,a3e62486ec1583dc,189,70,2,p
2,1,a3e62486ec1583dc,2,154,2,p
2,1,a3e62486ec1583dc,51,33,2,p
2,1,a3e62486ec1583dc,185,148,2,a
2,1,a3e62486ec1583dc,85,7,2,a
2,1,a3e62486ec1583dc,167,106,2,a
2,1,a3e62486ec1583dc,33,180,2,a
2,1,a3e62486ec1583dc,90,47,2,a
2,1,a3e62486ec1583dc,189,70,2,a
0,1,92cd57591b112e15,191,6,2,a
1,1,f7ca39541b55984d,102,99,2,a
2,1,a3e62486ec1583dc,51,185,2,a
2,1,a3e62486ec1583dc,104,146,2,a
2,1,a3e62486ec1583dc,28,11,2,a
2,1,a3e62486ec1583dc,70,189,2,a
2,1,a3e62486ec1583dc,165,76,2,a
0,1,92cd57591b112e15,57,129,2,a
2,1,a3e62486ec1583dc,52,197,2,a
2,1,a3e62486ec1583dc,43,146,2,a
2,1,a3e62486ec1583dc,154,139,2,a
2,1,a3e62486ec1583dc,7,57,3,p
2,1,a3e62486ec1583dc,106,35,3,p
2,1,a3e62486ec1583dc,139,154,3,p
2,1,a3e62486ec1583dc,47,90,3,p
2,1,a3e62486ec1583dc,33,51,3,p
2,1,a3e62486ec1583dc,51,33,3,p
0,1,92cd57591b112e15,129,104,3,p
2,1,a3e62486ec1583dc,11,185,3,p
2,1,a3e62486ec1583dc,11,28,3,p
1,1,f7ca39541b55984d,99,102,3,p
2,1,a3e62486ec1583dc,70,189,3,p
2,1,a3e62486ec1583dc,47,86,3,p
2,1,a3e62486ec1583dc,197,52,3,p
0,1,92cd57591b112e15,6,43,3,p
2,1,a3e62486ec1583dc,75,70,3,p
0,1,92cd57591b112e15,6,191,3,p
2,1,a3e62486ec1583dc,76,165,3,p
2,1,a3e62486ec1583dc,7,85,3,p
2,1,a3e62486ec1583dc,106,167,3,p
2,1,a3e62486ec1583dc,28,11,3,a
0,1,92cd57591b112e15,43,146,3,a
0,1,92cd57591b112e15,129,57,3,a
2,1,a3e62486ec1583dc,189,70,3,a
2,1,a3e62486ec1583dc,90,47,3,a
2,1,a3e62486ec1583dc,106,167,3,a
1,1,f7ca39541b55984d,102,99,3,a
2,1,a3e62486ec1583dc,85,7,3,a
2,1,a3e62486ec1583dc,154,139,3,a
2,1,a3e62486ec1583dc,33,180,3,a
2,1,a3e62486ec1583dc,165,76,3,a
2,1,a3e62486ec1583dc,52,197,3,a
2,1,a3e62486ec1583dc,51,185,3,a
2,1,a3e62486ec1583dc,154,49,4,p
2,1,a3e62486ec1583dc,33,180,4,p
