# Wed Nov 22 12:18:22 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
ag1,ag2,time,weight,type
3,53,1,0.8763946332583832,a
3,95,1,0.4402679187525999,a
3,151,1,0.7103512277412012,a
3,153,1,0.6002006958535149,a
3,181,1,0.6961942971526243,a
3,185,1,0.9854933909939747,a
4,56,1,0.9954754558526486,a
4,77,1,0.5358049298986339,a
4,96,1,0.8193057000868851,a
5,54,1,0.8442882789063659,a
5,125,1,0.6593652836727162,a
5,149,1,0.8165743822098694,a
5,152,1,0.30781883983234903,a
6,14,1,0.7532384323077539,a
6,58,1,0.7138467499927335,a
6,82,1,0.6685208642427629,a
6,100,1,0.40324304792781024,a
6,155,1,0.9660428918792987,a
6,184,1,0.9173498045370978,a
7,13,1,0.8040061214579239,a
7,34,1,0.9249185973548857,a
7,56,1,0.800942809459102,a
7,97,1,0.8947547463495937,a
7,107,1,0.8650889174217828,a
8,40,1,0.5357077035511857,a
8,74,1,0.3081189379783236,a
8,81,1,0.44038104225786845,a
8,130,1,0.5167122201369048,a
9,23,1,0.6736914765563848,a
9,47,1,0.5514255311940842,a
9,49,1,0.42770618024255014,a
9,75,1,0.5497357200852389,a
9,121,1,0.5632802013440975,a
9,173,1,0.57646269639993,a
10,14,1,0.6832535386272864,a
10,25,1,0.6636093201616831,a
10,74,1,0.8129791130524144,a
10,100,1,0.3157424171455135,a
10,104,1,0.3958188354070317,a
10,109,1,0.4907044996063078,a
10,186,1,0.8620349333586974,a
11,44,1,0.7023848928050009,a
11,64,1,0.972033365216052,a
11,77,1,0.5559717704718445,a
11,98,1,0.8939364387658508,a
11,135,1,0.4257489153187285,a
12,38,1,0.3479041433488473,a
12,64,1,0.43565814557180904,a
12,144,1,0.7636009991103849,a
12,174,1,0.8475463435522452,a
12,177,1,0.4485031369945123,a
13,53,1,0.8860261028525471,a
13,110,1,0.5186106830790589,a
13,141,1,0.5305290540290751,a
13,144,1,0.39526750005721745,a
13,168,1,0.6447538586996739,a
13,186,1,0.7269816613003178,a
14,22,1,0.7048490705718098,a
14,42,1,0.9326024509056479,a
14,48,1,0.7505613336779736,a
14,49,1,0.6222659249470329,a
14,66,1,0.9988699738150373,a
14,139,1,0.6303228323747643,a
15,60,1,0.48709764343346273,a
15,84,1,0.35558525199301594,a
15,100,1,0.6084040006026568,a
15,119,1,0.35935519115335723,a
15,157,1,0.7586231033195345,a
15,181,1,0.7858645988899573,a
16,17,1,0.31426353548307057,a
16,108,1,0.5255915600276709,a
16,120,1,0.9199008255153207,a
16,152,1,0.3401424803178758,a
17,25,1,0.4531719799541989,a
17,103,1,0.3130138255060756,a
17,158,1,0.9236612528698267,a
18,31,1,0.5713206876346979,a
18,123,1,0.782529047156165,a
18,127,1,0.7202079133584586,a
18,158,1,0.6374863512928204,a
19,75,1,0.9451218044637391,a
19,123,1,0.534115244085567,a
20,34,1,0.6757984332713927,a
20,115,1,0.9751122486899331,a
20,145,1,0.7730647626182622,a
20,186,1,0.5527483351336477,a
20,198,1,0.8420691947284027,a
21,26,1,0.4864486858911734,a
21,48,1,0.9843354614626496,a
21,76,1,0.7875448886064813,a
21,149,1,0.9837907397935102,a
21,198,1,0.6570736857441346,a
22,29,1,0.5603577357560451,a
22,175,1,0.707826777642814,a
23,34,1,0.5028696777784758,a
23,55,1,0.7621838723442891,a
23,67,1,0.7945288491576477,a
23,81,1,0.31548374920648825,a
23,92,1,0.6369057538297322,a
23,97,1,0.8703569656675887,a
23,144,1,0.38470922765842935,a
23,173,1,0.46603018584038636,a
24,55,1,0.7582304606617795,a
24,59,1,0.5376734097166017,a
24,79,1,0.3728609117691647,a
24,94,1,0.7369636074161021,a
24,98,1,0.6152324089271515,a
24,118,1,0.522196791177326,a
24,122,1,0.7589119434533077,a
24,138,1,0.3510929691650216,a
24,143,1,0.8158760379038774,a
24,167,1,0.32381166684634693,a
24,182,1,0.7868787559907833,a
25,33,1,0.448492795086471,a
25,36,1,0.4216248947204831,a
25,58,1,0.7583422957081912,a
25,108,1,0.4500878080959387,a
25,123,1,0.3160520217803763,a
25,174,1,0.6764712628450431,a
26,57,1,0.8279190756285204,a
26,151,1,0.9451445474572453,a
27,70,1,0.6008911022117569,a
27,164,1,0.6005508507225197,a
27,166,1,0.8733715108622093,a
27,197,1,0.624487795656345,a
28,62,1,0.4170254458712276,a
28,97,1,0.9803911475527693,a
29,104,1,0.7299490187318267,a
29,144,1,0.7629743809245534,a
29,182,1,0.6761986534169607,a
30,60,1,0.5695420127072264,a
30,90,1,0.5476413205326228,a
31,70,1,0.385760426049259,a
31,73,1,0.7219016823444713,a
31,92,1,0.8603009546351275,a
31,189,1,0.6645965181933806,a
32,47,1,0.7538516012169771,a
32,68,1,0.9570249034943874,a
32,75,1,0.7508828586012022,a
32,89,1,0.7686352712093818,a
