# Wed Nov 22 11:57:59 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
2,1,f56a2141fbb7046a,2,2,1,c
0,1,5cfe74ee2865c0da,0,0,1,c
1,1,23b5195fcfed0212,1,1,1,c
1,1,23b5195fcfed0212,1,44,2,p
0,1,5cfe74ee2865c0da,0,95,2,p
1,1,23b5195fcfed0212,1,85,2,p
0,1,5cfe74ee2865c0da,0,198,2,p
0,1,5cfe74ee2865c0da,0,58,2,p
0,1,5cfe74ee2865c0da,95,186,2,p
1,1,23b5195fcfed0212,1,141,2,p
1,1,23b5195fcfed0212,1,149,2,p
0,1,5cfe74ee2865c0da,58,127,2,a
0,1,5cfe74ee2865c0da,186,38,2,a
1,1,23b5195fcfed0212,44,126,2,a
1,1,23b5195fcfed0212,141,63,2,a
1,1,23b5195fcfed0212,85,189,2,a
1,1,23b5195fcfed0212,149,5,2,a
0,1,5cfe74ee2865c0da,95,32,2,a
0,1,5cfe74ee2865c0da,198,52,2,a
0,1,5cfe74ee2865c0da,127,58,3,p
0,1,5cfe74ee2865c0da,38,186,3,p
1,1,23b5195fcfed0212,63,141,3,p
1,1,23b5195fcfed0212,189,85,3,p
1,1,23b5195fcfed0212,5,149,3,p
1,1,23b5195fcfed0212,126,44,3,p
0,1,5cfe74ee2865c0da,32,95,3,p
0,1,5cfe74ee2865c0da,131,198,3,p
1,1,23b5195fcfed0212,149,5,3,a
0,1,5cfe74ee2865c0da,32,170,3,a
1,1,23b5195fcfed0212,85,189,3,a
1,1,23b5195fcfed0212,141,63,3,a
0,1,5cfe74ee2865c0da,198,52,3,a
0,1,5cfe74ee2865c0da,95,32,3,a
1,1,23b5195fcfed0212,44,126,3,a
2,1,f56a2141fbb7046a,2,25,4,p
2,1,f56a2141fbb7046a,2,22,4,p
2,1,f56a2141fbb7046a,2,29,4,p
0,1,5cfe74ee2865c0da,95,171,4,p
1,1,23b5195fcfed0212,141,182,4,p
0,1,5cfe74ee2865c0da,198,52,4,p
