# Wed Nov 22 11:33:38 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
0,1,1c129a0e6fd49d81,0,0,1,c
1,1,c1854fe826fc2d76,1,1,1,c
2,1,15682368ee204f83,2,2,1,c
0,1,1c129a0e6fd49d81,0,61,2,p
0,1,1c129a0e6fd49d81,0,18,2,p
2,1,15682368ee204f83,2,41,2,p
0,1,1c129a0e6fd49d81,0,51,2,p
2,1,15682368ee204f83,2,19,2,p
2,1,15682368ee204f83,2,56,2,p
2,1,15682368ee204f83,2,136,2,p
0,1,1c129a0e6fd49d81,61,186,2,p
1,1,c1854fe826fc2d76,1,177,2,p
0,1,1c129a0e6fd49d81,0,161,2,p
0,1,1c129a0e6fd49d81,51,15,2,p
2,1,15682368ee204f83,2,56,3,p
2,1,15682368ee204f83,2,19,3,p
2,1,15682368ee204f83,2,41,3,p
0,1,1c129a0e6fd49d81,61,27,3,p
0,1,1c129a0e6fd49d81,27,61,3,p
0,1,1c129a0e6fd49d81,51,15,3,p
0,1,1c129a0e6fd49d81,0,18,3,p
2,1,15682368ee204f83,2,136,3,p
0,1,1c129a0e6fd49d81,0,161,3,p
0,1,1c129a0e6fd49d81,15,51,3,p
0,1,1c129a0e6fd49d81,61,186,3,p
1,1,c1854fe826fc2d76,1,177,3,p
2,1,15682368ee204f83,2,36,4,p
0,1,1c129a0e6fd49d81,0,194,4,p
1,1,c1854fe826fc2d76,1,102,4,p
0,1,1c129a0e6fd49d81,0,134,4,p
0,1,1c129a0e6fd49d81,61,200,4,p
2,1,15682368ee204f83,2,22,4,p
0,1,1c129a0e6fd49d81,186,153,4,p
0,1,1c129a0e6fd49d81,0,98,4,p
2,1,15682368ee204f83,2,136,4,p
2,1,15682368ee204f83,22,38,4,p
0,1,1c129a0e6fd49d81,18,141,4,p
2,1,15682368ee204f83,2,123,4,p
2,1,15682368ee204f83,2,19,4,p
1,1,c1854fe826fc2d76,1,148,4,p
0,1,1c129a0e6fd49d81,18,99,4,p
2,1,15682368ee204f83,38,27,4,p
1,1,c1854fe826fc2d76,1,75,4,p
0,1,1c129a0e6fd49d81,99,95,4,p
2,1,15682368ee204f83,36,165,4,p
2,1,15682368ee204f83,2,150,4,p
1,1,c1854fe826fc2d76,102,71,4,p
2,1,15682368ee204f83,2,56,4,p
2,1,15682368ee204f83,22,195,4,p
1,1,c1854fe826fc2d76,1,6,4,p
1,1,c1854fe826fc2d76,1,74,4,p
0,1,1c129a0e6fd49d81,61,186,4,p
1,1,c1854fe826fc2d76,102,31,4,p
0,1,1c129a0e6fd49d81,51,15,4,p
1,1,c1854fe826fc2d76,1,128,4,p
2,1,15682368ee204f83,2,41,4,p
2,1,15682368ee204f83,2,65,4,p
2,1,15682368ee204f83,136,198,4,p
0,1,1c129a0e6fd49d81,99,8,4,p
0,1,1c129a0e6fd49d81,0,115,4,p
1,1,c1854fe826fc2d76,128,173,4,p
0,1,1c129a0e6fd49d81,194,97,4,p
2,1,15682368ee204f83,165,201,4,p
1,1,c1854fe826fc2d76,1,73,4,p
2,1,15682368ee204f83,198,18,4,p
1,1,c1854fe826fc2d76,177,4,4,p
0,1,1c129a0e6fd49d81,51,78,4,p
2,1,15682368ee204f83,2,70,4,p
2,1,15682368ee204f83,36,121,4,p
1,1,c1854fe826fc2d76,1,172,4,p
1,1,c1854fe826fc2d76,4,170,5,p
2,1,15682368ee204f83,165,148,5,p
1,1,c1854fe826fc2d76,102,71,5,p
1,1,c1854fe826fc2d76,1,74,5,p
2,1,15682368ee204f83,22,38,5,p
2,1,15682368ee204f83,22,195,5,p
2,1,15682368ee204f83,41,107,5,p
1,1,c1854fe826fc2d76,170,128,5,p
1,1,c1854fe826fc2d76,6,42,5,p
2,1,15682368ee204f83,107,41,5,p
2,1,15682368ee204f83,65,47,5,p
0,1,1c129a0e6fd49d81,99,8,5,p
1,1,c1854fe826fc2d76,6,57,5,p
0,1,1c129a0e6fd49d81,51,78,5,p
2,1,15682368ee204f83,123,104,5,p
1,1,c1854fe826fc2d76,128,173,5,p
0,1,1c129a0e6fd49d81,115,182,5,p
1,1,c1854fe826fc2d76,31,102,5,p
1,1,c1854fe826fc2d76,57,54,5,p
0,1,1c129a0e6fd49d81,8,156,5,p
0,1,1c129a0e6fd49d81,200,134,5,p
2,1,15682368ee204f83,70,13,5,p
0,1,1c129a0e6fd49d81,8,127,5,p
0,1,1c129a0e6fd49d81,15,103,5,p
1,1,c1854fe826fc2d76,102,31,5,p
1,1,c1854fe826fc2d76,1,172,5,p
2,1,15682368ee204f83,107,160,5,p
1,1,c1854fe826fc2d76,170,181,5,p
2,1,15682368ee204f83,13,136,5,p
1,1,c1854fe826fc2d76,1,16,5,p
2,1,15682368ee204f83,198,6,5,p
2,1,15682368ee204f83,150,86,5,p
1,1,c1854fe826fc2d76,4,59,5,p
2,1,15682368ee204f83,27,140,5,p
1,1,c1854fe826fc2d76,71,126,5,p
0,1,1c129a0e6fd49d81,141,112,5,p
2,1,15682368ee204f83,165,201,5,p
1,1,c1854fe826fc2d76,172,178,5,p
0,1,1c129a0e6fd49d81,97,64,5,p
2,1,15682368ee204f83,18,99,5,p
0,1,1c129a0e6fd49d81,0,196,5,p
2,1,15682368ee204f83,198,39,5,p
1,1,c1854fe826fc2d76,172,142,5,p
1,1,c1854fe826fc2d76,1,75,5,p
1,1,c1854fe826fc2d76,42,89,5,p
2,1,15682368ee204f83,2,171,5,p
2,1,15682368ee204f83,70,5,5,p
1,1,c1854fe826fc2d76,126,191,5,p
2,1,15682368ee204f83,2,137,5,p
1,1,c1854fe826fc2d76,59,113,5,p
1,1,c1854fe826fc2d76,170,110,5,p
2,1,15682368ee204f83,99,95,5,p
2,1,15682368ee204f83,6,194,5,p
1,1,c1854fe826fc2d76,57,130,5,p
1,1,c1854fe826fc2d76,71,183,5,p
1,1,c1854fe826fc2d76,1,147,5,p
1,1,c1854fe826fc2d76,1,73,5,p
2,1,15682368ee204f83,13,154,5,p
0,1,1c129a0e6fd49d81,112,141,5,p
2,1,15682368ee204f83,22,58,5,p
0,1,1c129a0e6fd49d81,61,200,5,p
2,1,15682368ee204f83,38,22,5,p
0,1,1c129a0e6fd49d81,0,67,5,p
0,1,1c129a0e6fd49d81,0,169,5,p
1,1,c1854fe826fc2d76,71,94,5,p
2,1,15682368ee204f83,2,37,5,p
2,1,15682368ee204f83,56,157,5,p
1,1,c1854fe826fc2d76,126,189,5,p
2,1,15682368ee204f83,36,121,5,p
2,1,15682368ee204f83,58,101,5,p
1,1,c1854fe826fc2d76,102,192,5,p
2,1,15682368ee204f83,2,124,5,p
2,1,15682368ee204f83,70,7,5,p
0,1,1c129a0e6fd49d81,0,76,5,p
1,1,c1854fe826fc2d76,170,26,5,p
2,1,15682368ee204f83,36,165,5,p
1,1,c1854fe826fc2d76,94,153,5,p
2,1,15682368ee204f83,5,70,5,p
2,1,15682368ee204f83,137,151,5,p
2,1,15682368ee204f83,157,56,5,p
0,1,1c129a0e6fd49d81,200,44,5,p
2,1,15682368ee204f83,151,91,5,p
0,1,1c129a0e6fd49d81,51,11,5,p
0,1,1c129a0e6fd49d81,182,115,5,p
0,1,1c129a0e6fd49d81,11,133,5,p
2,1,15682368ee204f83,104,123,5,p
2,1,15682368ee204f83,121,36,5,p
2,1,15682368ee204f83,194,97,5,p
2,1,15682368ee204f83,58,117,5,p
0,1,1c129a0e6fd49d81,127,146,5,p
2,1,15682368ee204f83,39,17,5,p
2,1,15682368ee204f83,47,3,5,p
1,1,c1854fe826fc2d76,181,98,5,p
0,1,1c129a0e6fd49d81,64,106,5,p
0,1,1c129a0e6fd49d81,127,35,5,p
2,1,15682368ee204f83,107,159,5,p
2,1,15682368ee204f83,6,198,5,p
2,1,15682368ee204f83,99,48,5,p
0,1,1c129a0e6fd49d81,182,65,5,p
1,1,c1854fe826fc2d76,59,4,5,p
0,1,1c129a0e6fd49d81,141,155,5,p
2,1,15682368ee204f83,86,150,5,p
0,1,1c129a0e6fd49d81,106,88,6,p
2,1,15682368ee204f83,2,124,6,p
2,1,15682368ee204f83,165,201,6,p
2,1,15682368ee204f83,19,20,6,p
2,1,15682368ee204f83,22,38,6,p
0,1,1c129a0e6fd49d81,133,59,6,p
2,1,15682368ee204f83,124,131,6,p
1,1,c1854fe826fc2d76,94,71,6,p
0,1,1c129a0e6fd49d81,11,113,6,p
0,1,1c129a0e6fd49d81,127,146,6,p
2,1,15682368ee204f83,2,37,6,p
2,1,15682368ee204f83,165,190,6,p
0,1,1c129a0e6fd49d81,113,105,6,p
2,1,15682368ee204f83,86,150,6,p
2,1,15682368ee204f83,47,3,6,p
1,1,c1854fe826fc2d76,126,189,6,p
2,1,15682368ee204f83,194,97,6,p
1,1,c1854fe826fc2d76,170,128,6,p
2,1,15682368ee204f83,70,7,6,p
0,1,1c129a0e6fd49d81,65,30,6,p
2,1,15682368ee204f83,3,47,6,p
1,1,c1854fe826fc2d76,172,178,6,p
2,1,15682368ee204f83,5,70,6,p
1,1,c1854fe826fc2d76,71,94,6,p
0,1,1c129a0e6fd49d81,0,196,6,p
1,1,c1854fe826fc2d76,54,100,6,p
2,1,15682368ee204f83,140,31,6,p
0,1,1c129a0e6fd49d81,35,92,6,p
0,1,1c129a0e6fd49d81,156,10,6,p
2,1,15682368ee204f83,41,77,6,p
2,1,15682368ee204f83,151,137,6,p
2,1,15682368ee204f83,2,72,6,p
2,1,15682368ee204f83,56,23,6,p
2,1,15682368ee204f83,99,95,6,p
2,1,15682368ee204f83,37,32,6,p
2,1,15682368ee204f83,86,179,6,p
0,1,1c129a0e6fd49d81,156,62,6,p
2,1,15682368ee204f83,27,140,6,p
0,1,1c129a0e6fd49d81,8,156,6,p
2,1,15682368ee204f83,17,187,6,p
2,1,15682368ee204f83,17,96,6,p
0,1,1c129a0e6fd49d81,30,125,6,p
2,1,15682368ee204f83,123,104,6,p
2,1,15682368ee204f83,6,198,6,p
0,1,1c129a0e6fd49d81,0,164,6,p
2,1,15682368ee204f83,7,50,6,p
0,1,1c129a0e6fd49d81,146,134,6,p
2,1,15682368ee204f83,5,55,6,p
0,1,1c129a0e6fd49d81,112,141,6,p
1,1,c1854fe826fc2d76,57,54,6,p
0,1,1c129a0e6fd49d81,182,109,6,p
2,1,15682368ee204f83,136,25,6,p
0,1,1c129a0e6fd49d81,133,135,6,p
2,1,15682368ee204f83,50,112,6,p
1,1,c1854fe826fc2d76,71,183,6,p
2,1,15682368ee204f83,72,138,6,p
2,1,15682368ee204f83,22,58,6,p
0,1,1c129a0e6fd49d81,51,11,6,p
2,1,15682368ee204f83,117,73,6,p
2,1,15682368ee204f83,32,165,6,p
2,1,15682368ee204f83,97,64,6,p
0,1,1c129a0e6fd49d81,127,8,6,p
2,1,15682368ee204f83,6,84,6,p
0,1,1c129a0e6fd49d81,0,169,6,p
2,1,15682368ee204f83,58,118,6,p
1,1,c1854fe826fc2d76,1,199,6,p
1,1,c1854fe826fc2d76,71,126,6,p
1,1,c1854fe826fc2d76,54,57,6,p
1,1,c1854fe826fc2d76,98,181,6,p
0,1,1c129a0e6fd49d81,35,80,6,p
2,1,15682368ee204f83,19,33,6,p
0,1,1c129a0e6fd49d81,15,119,6,p
0,1,1c129a0e6fd49d81,80,171,6,p
0,1,1c129a0e6fd49d81,8,166,6,p
1,1,c1854fe826fc2d76,172,81,6,p
2,1,15682368ee204f83,77,114,6,p
1,1,c1854fe826fc2d76,170,110,6,p
1,1,c1854fe826fc2d76,126,191,6,p
0,1,1c129a0e6fd49d81,164,145,6,p
1,1,c1854fe826fc2d76,181,168,6,p
2,1,15682368ee204f83,39,17,6,p
2,1,15682368ee204f83,64,98,6,p
0,1,1c129a0e6fd49d81,109,192,6,p
1,1,c1854fe826fc2d76,102,129,6,p
0,1,1c129a0e6fd49d81,62,13,6,p
2,1,15682368ee204f83,91,151,6,p
2,1,15682368ee204f83,107,159,6,p
0,1,1c129a0e6fd49d81,92,26,6,p
0,1,1c129a0e6fd49d81,11,133,6,p
2,1,15682368ee204f83,18,68,6,p
2,1,15682368ee204f83,3,63,6,p
1,1,c1854fe826fc2d76,1,82,6,p
0,1,1c129a0e6fd49d81,11,66,6,p
0,1,1c129a0e6fd49d81,35,45,6,p
0,1,1c129a0e6fd49d81,65,182,6,p
2,1,15682368ee204f83,33,174,6,p
1,1,c1854fe826fc2d76,54,122,6,p
0,1,1c129a0e6fd49d81,15,103,6,p
1,1,c1854fe826fc2d76,1,16,6,p
2,1,15682368ee204f83,63,34,6,p
0,1,1c129a0e6fd49d81,0,67,6,p
2,1,15682368ee204f83,20,28,6,p
2,1,15682368ee204f83,6,194,6,p
2,1,15682368ee204f83,17,24,6,p
2,1,15682368ee204f83,55,5,6,p
1,1,c1854fe826fc2d76,100,93,6,p
2,1,15682368ee204f83,24,86,6,p
2,1,15682368ee204f83,37,193,6,p
1,1,c1854fe826fc2d76,94,127,6,p
0,1,1c129a0e6fd49d81,88,106,6,p
2,1,15682368ee204f83,165,148,6,p
2,1,15682368ee204f83,6,42,6,p
0,1,1c129a0e6fd49d81,146,52,6,p
1,1,c1854fe826fc2d76,57,143,6,p
1,1,c1854fe826fc2d76,57,176,6,p
2,1,15682368ee204f83,22,195,6,p
2,1,15682368ee204f83,5,139,6,p
2,1,15682368ee204f83,41,107,6,p
0,1,1c129a0e6fd49d81,52,162,6,p
2,1,15682368ee204f83,58,117,6,p
2,1,15682368ee204f83,50,46,6,p
2,1,15682368ee204f83,19,120,6,p
2,1,15682368ee204f83,17,40,6,p
0,1,1c129a0e6fd49d81,51,78,6,p
1,1,c1854fe826fc2d76,74,43,6,p
2,1,15682368ee204f83,157,144,6,p
2,1,15682368ee204f83,131,69,6,p
1,1,c1854fe826fc2d76,43,89,6,p
2,1,15682368ee204f83,137,116,6,p
1,1,c1854fe826fc2d76,57,130,6,p
0,1,1c129a0e6fd49d81,186,158,6,p
2,1,15682368ee204f83,58,101,6,p
1,1,c1854fe826fc2d76,81,172,6,p
2,1,15682368ee204f83,36,121,6,p
2,1,15682368ee204f83,117,91,6,p
0,1,1c129a0e6fd49d81,162,152,6,p
1,1,c1854fe826fc2d76,82,157,6,p
1,1,c1854fe826fc2d76,81,202,6,p
2,1,15682368ee204f83,99,48,6,p
0,1,1c129a0e6fd49d81,135,175,6,p
1,1,c1854fe826fc2d76,100,29,6,p
