# Wed Nov 22 12:17:08 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 500
#memorySize 1
source,timec,news,ag1,ag2,time,type
1,1,b3cbde301d915001,1,1,1,c
0,1,fee8358a9690ec81,0,0,1,c
2,1,1344447dc336f1a8,2,2,1,c
2,1,1344447dc336f1a8,2,24,2,p
0,1,fee8358a9690ec81,0,129,2,p
0,1,fee8358a9690ec81,0,125,2,p
0,1,fee8358a9690ec81,0,39,2,p
2,1,1344447dc336f1a8,2,161,2,p
1,1,b3cbde301d915001,1,190,2,p
2,1,1344447dc336f1a8,2,134,2,p
1,1,b3cbde301d915001,1,174,2,p
0,1,fee8358a9690ec81,125,197,2,a
0,1,fee8358a9690ec81,39,170,2,a
2,1,1344447dc336f1a8,161,173,2,a
0,1,fee8358a9690ec81,129,74,2,a
1,1,b3cbde301d915001,174,170,2,a
1,1,b3cbde301d915001,190,108,2,a
2,1,1344447dc336f1a8,134,128,2,a
2,1,1344447dc336f1a8,24,108,2,a
0,1,fee8358a9690ec81,197,125,3,p
2,1,1344447dc336f1a8,173,161,3,p
2,1,1344447dc336f1a8,128,134,3,p
1,1,b3cbde301d915001,170,174,3,p
2,1,1344447dc336f1a8,108,24,3,p
0,1,fee8358a9690ec81,74,129,3,p
0,1,fee8358a9690ec81,39,124,3,p
2,1,1344447dc336f1a8,108,190,3,p
0,1,fee8358a9690ec81,124,39,3,p
0,1,fee8358a9690ec81,124,56,3,a
0,1,fee8358a9690ec81,125,197,3,a
1,1,b3cbde301d915001,174,170,3,a
2,1,1344447dc336f1a8,190,108,3,a
2,1,1344447dc336f1a8,161,173,3,a
2,1,1344447dc336f1a8,24,108,3,a
2,1,1344447dc336f1a8,134,128,3,a
0,1,fee8358a9690ec81,56,124,3,a
0,1,fee8358a9690ec81,39,170,3,a
1,1,b3cbde301d915001,1,46,4,p
0,1,fee8358a9690ec81,0,78,4,p
2,1,1344447dc336f1a8,2,107,4,p
2,1,1344447dc336f1a8,2,152,4,p
2,1,1344447dc336f1a8,2,185,4,p
0,1,fee8358a9690ec81,124,39,4,p
0,1,fee8358a9690ec81,197,125,4,p
2,1,1344447dc336f1a8,2,53,4,p
1,1,b3cbde301d915001,1,98,4,p
2,1,1344447dc336f1a8,128,13,4,p
2,1,1344447dc336f1a8,24,108,4,p
2,1,1344447dc336f1a8,2,171,4,p
2,1,1344447dc336f1a8,13,47,4,p
1,1,b3cbde301d915001,1,111,4,p
2,1,1344447dc336f1a8,108,24,4,p
2,1,1344447dc336f1a8,2,154,4,p
2,1,1344447dc336f1a8,13,128,4,p
2,1,1344447dc336f1a8,2,175,4,p
2,1,1344447dc336f1a8,185,113,4,p
0,1,fee8358a9690ec81,0,114,4,p
1,1,b3cbde301d915001,1,189,4,p
2,1,1344447dc336f1a8,108,190,4,p
0,1,fee8358a9690ec81,125,32,4,p
2,1,1344447dc336f1a8,53,156,4,p
2,1,1344447dc336f1a8,113,160,4,p
0,1,fee8358a9690ec81,125,193,4,p
2,1,1344447dc336f1a8,128,134,4,p
2,1,1344447dc336f1a8,108,15,4,p
0,1,fee8358a9690ec81,0,83,4,p
2,1,1344447dc336f1a8,156,196,4,p
0,1,fee8358a9690ec81,39,124,4,p
2,1,1344447dc336f1a8,53,179,4,p
2,1,1344447dc336f1a8,15,89,4,p
2,1,1344447dc336f1a8,160,28,4,p
2,1,1344447dc336f1a8,161,55,4,p
2,1,1344447dc336f1a8,175,72,4,p
2,1,1344447dc336f1a8,15,14,4,p
0,1,fee8358a9690ec81,0,153,4,p
2,1,1344447dc336f1a8,55,161,4,p
0,1,fee8358a9690ec81,125,64,4,p
2,1,1344447dc336f1a8,2,23,4,p
1,1,b3cbde301d915001,111,42,4,p
0,1,fee8358a9690ec81,64,177,4,p
2,1,1344447dc336f1a8,2,116,4,p
2,1,1344447dc336f1a8,134,130,4,p
0,1,fee8358a9690ec81,170,174,4,p
2,1,1344447dc336f1a8,160,16,4,p
0,1,fee8358a9690ec81,124,56,4,p
2,1,1344447dc336f1a8,108,192,4,a
2,1,1344447dc336f1a8,89,127,4,a
0,1,fee8358a9690ec81,32,117,4,a
2,1,1344447dc336f1a8,47,13,4,a
0,1,fee8358a9690ec81,114,36,4,a
2,1,1344447dc336f1a8,116,11,4,a
0,1,fee8358a9690ec81,153,15,4,a
2,1,1344447dc336f1a8,53,156,4,a
2,1,1344447dc336f1a8,175,72,4,a
2,1,1344447dc336f1a8,113,160,4,a
2,1,1344447dc336f1a8,190,108,4,a
0,1,fee8358a9690ec81,64,111,4,a
1,1,b3cbde301d915001,46,73,4,a
0,1,fee8358a9690ec81,83,79,4,a
0,1,fee8358a9690ec81,125,197,4,a
0,1,fee8358a9690ec81,170,174,4,a
