# Wed Nov 22 12:16:08 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
2,1,9cb8b0c207b943a0,2,2,1,c
0,1,95021d874d17cbee,0,0,1,c
1,1,13eef3a76b310aeb,1,1,1,c
2,1,9cb8b0c207b943a0,2,112,2,p
0,1,95021d874d17cbee,0,149,2,p
1,1,13eef3a76b310aeb,1,94,2,p
0,1,95021d874d17cbee,0,193,2,p
2,1,9cb8b0c207b943a0,2,198,2,p
2,1,9cb8b0c207b943a0,2,105,2,p
0,1,95021d874d17cbee,0,179,2,p
1,1,13eef3a76b310aeb,1,146,2,p
0,1,95021d874d17cbee,0,183,2,p
0,1,95021d874d17cbee,0,114,2,p
0,1,95021d874d17cbee,114,132,2,p
0,1,95021d874d17cbee,0,88,2,p
0,1,95021d874d17cbee,149,153,2,a
2,1,9cb8b0c207b943a0,112,17,2,a
0,1,95021d874d17cbee,193,93,2,a
0,1,95021d874d17cbee,114,148,2,a
0,1,95021d874d17cbee,88,190,2,a
0,1,95021d874d17cbee,183,29,2,a
1,1,13eef3a76b310aeb,94,100,2,a
0,1,95021d874d17cbee,132,31,2,a
0,1,95021d874d17cbee,179,184,2,a
1,1,13eef3a76b310aeb,146,180,2,a
2,1,9cb8b0c207b943a0,198,18,2,a
2,1,9cb8b0c207b943a0,105,54,2,a
0,1,95021d874d17cbee,88,106,3,p
0,1,95021d874d17cbee,31,132,3,p
2,1,9cb8b0c207b943a0,17,112,3,p
0,1,95021d874d17cbee,69,149,3,p
2,1,9cb8b0c207b943a0,17,172,3,p
2,1,9cb8b0c207b943a0,54,105,3,p
0,1,95021d874d17cbee,93,193,3,p
2,1,9cb8b0c207b943a0,17,198,3,p
0,1,95021d874d17cbee,69,34,3,p
0,1,95021d874d17cbee,132,114,3,p
1,1,13eef3a76b310aeb,100,94,3,p
0,1,95021d874d17cbee,106,88,3,p
1,1,13eef3a76b310aeb,180,146,3,p
0,1,95021d874d17cbee,29,183,3,p
