# Wed Nov 22 11:59:08 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
1,1,b23f34672fbfc7a2,1,1,1,c
0,1,8cb9e4147a225814,0,0,1,c
2,1,6e5b490c161cb41c,2,2,1,c
0,1,8cb9e4147a225814,0,182,2,p
0,1,8cb9e4147a225814,0,142,2,p
1,1,b23f34672fbfc7a2,1,167,2,p
2,1,6e5b490c161cb41c,2,39,2,p
2,1,6e5b490c161cb41c,2,90,2,p
0,1,8cb9e4147a225814,0,26,2,p
2,1,6e5b490c161cb41c,2,178,2,p
2,1,6e5b490c161cb41c,2,170,2,p
1,1,b23f34672fbfc7a2,1,91,2,p
0,1,8cb9e4147a225814,0,18,2,p
2,1,6e5b490c161cb41c,2,85,2,p
1,1,b23f34672fbfc7a2,167,123,2,a
0,1,8cb9e4147a225814,182,8,2,a
0,1,8cb9e4147a225814,26,119,2,a
2,1,6e5b490c161cb41c,85,128,2,a
2,1,6e5b490c161cb41c,90,35,2,a
0,1,8cb9e4147a225814,18,56,2,a
2,1,6e5b490c161cb41c,39,28,2,a
0,1,8cb9e4147a225814,142,189,2,a
2,1,6e5b490c161cb41c,170,53,2,a
1,1,b23f34672fbfc7a2,91,90,2,a
2,1,6e5b490c161cb41c,178,136,2,a
1,1,b23f34672fbfc7a2,91,90,3,p
2,1,6e5b490c161cb41c,53,170,3,p
0,1,8cb9e4147a225814,56,18,3,p
1,1,b23f34672fbfc7a2,123,47,3,p
1,1,b23f34672fbfc7a2,47,20,3,p
2,1,6e5b490c161cb41c,128,85,3,p
0,1,8cb9e4147a225814,119,26,3,p
1,1,b23f34672fbfc7a2,90,91,3,p
0,1,8cb9e4147a225814,189,142,3,p
1,1,b23f34672fbfc7a2,123,167,3,p
2,1,6e5b490c161cb41c,28,39,3,p
0,1,8cb9e4147a225814,189,178,3,p
0,1,8cb9e4147a225814,8,182,3,p
1,1,b23f34672fbfc7a2,167,123,3,a
2,1,6e5b490c161cb41c,85,128,3,a
0,1,8cb9e4147a225814,182,8,3,a
0,1,8cb9e4147a225814,8,146,3,a
2,1,6e5b490c161cb41c,28,76,3,a
2,1,6e5b490c161cb41c,35,90,3,a
0,1,8cb9e4147a225814,26,119,3,a
2,1,6e5b490c161cb41c,90,35,3,a
0,1,8cb9e4147a225814,18,56,3,a
