# Wed Nov 22 12:05:28 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
source,timec,news,ag1,ag2,time,type
0,1,29b09d698cae01c9,0,0,1,c
1,1,9ed96540e486dd89,1,1,1,c
2,1,d403162b477eb271,2,2,1,c
2,1,d403162b477eb271,2,19,2,p
2,1,d403162b477eb271,2,103,2,p
0,1,29b09d698cae01c9,0,191,2,p
2,1,d403162b477eb271,2,46,2,p
0,1,29b09d698cae01c9,0,42,2,p
1,1,9ed96540e486dd89,1,153,2,p
0,1,29b09d698cae01c9,191,30,2,p
0,1,29b09d698cae01c9,0,47,2,p
0,1,29b09d698cae01c9,0,113,2,p
2,1,d403162b477eb271,46,79,2,a
2,1,d403162b477eb271,103,184,2,a
0,1,29b09d698cae01c9,47,174,2,a
2,1,d403162b477eb271,19,36,2,a
0,1,29b09d698cae01c9,30,180,2,a
0,1,29b09d698cae01c9,191,109,2,a
0,1,29b09d698cae01c9,113,135,2,a
0,1,29b09d698cae01c9,42,21,2,a
1,1,9ed96540e486dd89,153,148,2,a
2,1,d403162b477eb271,36,19,3,p
2,1,d403162b477eb271,184,103,3,p
0,1,29b09d698cae01c9,135,46,3,p
0,1,29b09d698cae01c9,180,30,3,p
0,1,29b09d698cae01c9,21,42,3,p
1,1,9ed96540e486dd89,148,153,3,p
0,1,29b09d698cae01c9,30,191,3,p
0,1,29b09d698cae01c9,174,47,3,p
0,1,29b09d698cae01c9,135,113,3,p
2,1,d403162b477eb271,19,36,3,a
0,1,29b09d698cae01c9,191,109,3,a
0,1,29b09d698cae01c9,30,180,3,a
2,1,d403162b477eb271,79,46,3,a
1,1,9ed96540e486dd89,153,148,3,a
0,1,29b09d698cae01c9,135,32,3,a
2,1,d403162b477eb271,103,184,3,a
0,1,29b09d698cae01c9,42,21,3,a
2,1,d403162b477eb271,46,79,4,p
0,1,29b09d698cae01c9,135,192,4,p
2,1,d403162b477eb271,36,19,4,p
2,1,d403162b477eb271,19,119,4,p
0,1,29b09d698cae01c9,109,172,4,p
0,1,29b09d698cae01c9,0,101,4,p
0,1,29b09d698cae01c9,47,174,4,p
0,1,29b09d698cae01c9,30,198,4,p
0,1,29b09d698cae01c9,180,44,4,p
0,1,29b09d698cae01c9,30,100,4,p
0,1,29b09d698cae01c9,44,28,4,p
0,1,29b09d698cae01c9,0,25,4,p
0,1,29b09d698cae01c9,100,4,4,p
0,1,29b09d698cae01c9,0,163,4,p
0,1,29b09d698cae01c9,0,111,4,p
0,1,29b09d698cae01c9,30,191,4,p
2,1,d403162b477eb271,2,93,4,p
1,1,9ed96540e486dd89,1,185,4,p
1,1,9ed96540e486dd89,153,127,4,p
2,1,d403162b477eb271,46,135,4,p
1,1,9ed96540e486dd89,1,72,4,p
0,1,29b09d698cae01c9,25,188,4,p
1,1,9ed96540e486dd89,72,22,4,p
2,1,d403162b477eb271,135,51,4,p
0,1,29b09d698cae01c9,163,67,4,p
2,1,d403162b477eb271,2,195,4,p
1,1,9ed96540e486dd89,148,15,4,p
1,1,9ed96540e486dd89,127,153,4,p
2,1,d403162b477eb271,103,39,4,p
0,1,29b09d698cae01c9,0,138,4,p
2,1,d403162b477eb271,195,14,4,p
0,1,29b09d698cae01c9,180,83,4,p
0,1,29b09d698cae01c9,0,182,4,p
2,1,d403162b477eb271,39,66,4,p
1,1,9ed96540e486dd89,1,35,4,p
1,1,9ed96540e486dd89,1,129,4,p
0,1,29b09d698cae01c9,100,17,4,p
0,1,29b09d698cae01c9,44,178,4,p
0,1,29b09d698cae01c9,0,56,4,p
0,1,29b09d698cae01c9,100,30,4,p
0,1,29b09d698cae01c9,182,167,4,p
0,1,29b09d698cae01c9,20,42,4,p
2,1,d403162b477eb271,2,81,4,p
2,1,d403162b477eb271,39,103,4,p
1,1,9ed96540e486dd89,22,9,4,p
1,1,9ed96540e486dd89,1,140,4,p
0,1,29b09d698cae01c9,0,40,4,p
1,1,9ed96540e486dd89,9,165,4,p
2,1,d403162b477eb271,2,53,4,p
0,1,29b09d698cae01c9,182,5,4,a
1,1,9ed96540e486dd89,9,165,4,a
0,1,29b09d698cae01c9,30,180,4,a
1,1,9ed96540e486dd89,129,118,4,a
0,1,29b09d698cae01c9,198,140,4,a
2,1,d403162b477eb271,79,46,4,a
