#clustering per node
#
#simulation with:
#SEED
#N_AGENTS
#N_USERS
#N_SOURCES
#P_a
#P_s
#dim
#time
#memorySize
node,clustering coeff
6,0.04743083003952569
7,0.01818181818181818
8,0.08333333333333333
9,0
10,0.07017543859649122
11,0
12,0
13,0.06666666666666667
14,0
15,0.04395604395604396
16,0.06666666666666667
17,0.09523809523809523
18,0
19,0
20,0
21,0.05228758169934641
22,0
23,0
24,0.3333333333333333
25,0
26,0.11538461538461539
27,0.07142857142857142
28,0
29,0.0661764705882353
30,0.0846774193548387
31,0.2
32,0.07692307692307693
33,0.06666666666666667
34,0
35,0.16666666666666666
36,0.051470588235294115
37,0
38,0
39,0.08791208791208792
40,0.06666666666666667
41,0.03296703296703297
42,0.10294117647058823
43,0
44,0
45,0
46,0
47,0.07575757575757576
48,0.07575757575757576
49,0
50,0.0935672514619883
51,0
52,0
53,0
54,0.09523809523809523
55,0.2
56,0
57,0
58,0.06666666666666667
59,0.05454545454545454
60,0.06719367588932806
61,0.044444444444444446
62,0.05128205128205128
63,0
64,0.057971014492753624
65,0.08571428571428572
66,0.07575757575757576
67,0
68,0.06842105263157895
69,0
70,0
71,0.1111111111111111
72,0
73,0.07368421052631578
74,0.01098901098901099
75,0.06267806267806268
76,0.047619047619047616
77,0.02564102564102564
78,0
79,0.23809523809523808
80,0
81,0.1
82,0
83,0
84,0
85,0.1111111111111111
86,0
87,0
88,0.06432748538011696
89,0.058823529411764705
90,0
91,0.16666666666666666
92,0.06060606060606061
93,0
94,0.08333333333333333
95,0
96,0.10989010989010989
97,0.051470588235294115
98,0.08333333333333333
99,0.038461538461538464
100,0.02197802197802198
101,0
102,0.07246376811594203
103,0
104,0.07575757575757576
105,0.09941520467836257
106,0.16666666666666666
107,0
108,0.08571428571428572
109,0
110,0.05138339920948617
111,0
112,0.06349206349206349
113,0
114,0
115,0
116,0
117,0.0718954248366013
118,0
119,0.08791208791208792
120,0
121,0.041666666666666664
122,0.047619047619047616
123,0.08571428571428572
124,0.13333333333333333
125,0.13333333333333333
126,0
127,0.058823529411764705
128,0
129,0.15151515151515152
130,0
131,0.03571428571428571
132,0.025
133,0.09803921568627451
134,0
135,0.06593406593406594
136,0
137,0.045454545454545456
138,0.3333333333333333
139,0.054945054945054944
140,0.047619047619047616
141,0
142,0.10606060606060606
143,0.1
144,0.01818181818181818
145,0.09523809523809523
146,0
147,0
148,0
149,0.05714285714285714
150,0.08571428571428572
151,0
152,0.02197802197802198
153,0
154,0
155,0
156,0.23809523809523808
157,0.0661764705882353
158,0.05291005291005291
159,0.3333333333333333
160,0
161,0.12121212121212122
162,0
163,0
164,0.0761904761904762
165,0.3333333333333333
166,0
167,0
168,0
169,0.044444444444444446
170,0.5
171,0.04395604395604396
172,0
173,0.07575757575757576
174,0
175,0
176,0
177,0.16666666666666666
178,0.08187134502923976
179,0.09523809523809523
180,0
181,0.07894736842105263
182,0
